r_1,r_2,a_0,a_1,a_2,logReturn
1.25024005222000e-02,1.05213291662000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.13852094427114e-02
1.29332873239000e-03,5.36153839550000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.07650734014739e-03
-2.53302293072000e-02,-1.32356178006000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.21683464538220e-02
-4.79862073639000e-03,-1.38679813470000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,9.02848094206462e-03
-7.29764287719000e-03,4.06109466418000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.14237407053311e-02
5.84742201531000e-03,-6.57757160217000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.23484368766730e-02
-2.72901046364000e-03,8.33981572783000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.10080150618994e-02
1.42843659570000e-02,1.70233347227000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.74272660395262e-03
1.41563882795000e-02,1.28137740692000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.34171370976748e-03
-2.30249796245000e-02,-2.90212028032000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.03280818543129e-02
-4.34969582497000e-03,8.28500950385000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.27152019711777e-02
-5.45178593111000e-03,2.91762189580000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.52417647626940e-02
-8.70129009623000e-03,-1.71277679120000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.39117324174156e-03
1.04386479352000e-02,2.37651316768000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.34160782024535e-02
1.24572372920000e-02,-1.68403462687000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.40422168836679e-02
-1.86946791482000e-03,4.02312306644000e-05,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.91152494575402e-03
-1.19840299254000e-02,-1.30663751708000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.08293140400390e-03
-7.41749649655000e-03,-3.81631957225000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.60767677134477e-03
1.38009390138000e-02,-6.82741448617000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.04184704689472e-02
-7.01260216367000e-03,5.94598648021000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.30432836343693e-02
1.55655951785000e-02,-2.16513562191000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.75753750852985e-02
5.59731039783000e-03,9.03327037762000e-05,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.49186973314840e-03
1.69872651583000e-03,-6.23564103739000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-7.96601214515002e-03
-4.26474282947000e-03,1.75930515588000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.21002150065596e-02
2.28190692870000e-03,2.97480160869000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.93134842453391e-04
1.54601005209000e-02,3.93222732321000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.14619335462325e-02
8.38755427677000e-03,3.19433726349000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.03574727688944e-03
-9.33316914916000e-03,-1.32352491757000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.89448665914807e-03
-1.59544844288000e-03,-2.09129292448000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.95065015636910e-02
6.05614105240000e-03,2.52281844431000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.52709508867590e-03
1.03036406934000e-03,-2.61586132745000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-3.65288907973693e-03
1.26224970678000e-02,2.30756547434000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.05081756720163e-02
1.66839899124000e-03,-2.16273993097000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.30285930735492e-02
1.21774266593000e-02,1.40755196537000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.89989665561357e-03
3.53191274287000e-03,-2.38215355690000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-5.93162364763933e-03
-2.45007259454000e-03,8.35221093886000e-04,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,3.27990890163060e-03
-6.16636112303000e-04,-6.80477242925000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.20736218839763e-03
-1.18224621178000e-02,-1.14772432341000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.45278485456310e-04
-8.56642821340000e-03,-4.11742129662000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.45893320039711e-03
-5.85970089779000e-03,-1.95526384053000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.36000363379597e-02
-7.68293820152000e-03,-1.06870744708000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.99963286888256e-03
-1.06773865561000e-02,8.05897883463000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.89141148388504e-02
1.68463191036000e-02,1.49776959278000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.87037123006253e-03
-3.41136807128000e-03,-4.06827590606000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.56692165273133e-04
1.24456391453000e-02,1.88765696455000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.45169801793794e-03
-1.98415595036000e-02,3.96131686787000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.40907420315563e-02
2.37720571791000e-02,2.41455863102000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,3.73459386461342e-04
8.69199038752000e-03,1.77242159108000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.94362002624448e-03
1.34607701772000e-02,1.26584174600000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.02031004331979e-04
-3.50988743601000e-03,5.03348979891000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.58008108159578e-03
-4.61799166926000e-03,-2.68341128489000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.19729382897424e-02
-7.58697389700000e-04,1.67846818030000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.76990880635187e-02
2.91653858279000e-02,2.44062049590000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.74789177136389e-03
-9.25608608099000e-03,-1.41412147294000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.87323512598475e-03
-5.68486713886000e-03,-9.17395561611000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.77887221912543e-03
1.07860708825000e-02,-7.46182528594000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.80834014194678e-02
-1.69054725427000e-02,-1.84536551777000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.54698543576033e-03
-1.83993421048000e-04,-1.58476922137000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.55422892366593e-02
6.25343255535000e-04,-3.37736792113000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.38206034507359e-02
8.39738080592000e-03,-4.01992001982000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.24950397141099e-02
4.46490046521000e-04,-1.37517202339000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.42999692128333e-02
-5.29704836223000e-03,-1.11364086660000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.82237732049198e-03
1.13399251351000e-02,1.01258327172000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.21335600369012e-03
-5.25465130496000e-03,-8.49376355710000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.41500676433702e-03
3.83197750968000e-03,5.02896381559000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.19627048896021e-03
-5.98054712350000e-03,-1.45240046917000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.50716877594248e-03
6.55121445437000e-03,-7.90650316952000e-05,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.65235743184234e-03
-9.71543385527000e-03,1.64520960618000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.58310179386731e-02
-1.26160948529000e-02,-1.33273785140000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.11030818764774e-04
-8.54900654344000e-04,-4.34068833672000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.47972640595709e-03
1.21068357932000e-02,5.58872112722000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.49696361680603e-03
7.40205554726000e-03,9.61944548368000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.41946209081060e-03
-4.10029675430000e-03,-1.18666949602000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-7.79671374012851e-03
-3.19215287051000e-03,-2.16029779259000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.03238780686852e-03
-4.80488764628000e-03,-4.23673392329000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.68315183475638e-04
4.65501305929000e-03,3.31302943909000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.34108396497332e-03
6.11321791631000e-03,1.15408936834000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.94687257259635e-03
-1.54653273116000e-03,6.88567446991000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.46795938193942e-03
-5.29706829644000e-03,-3.12035699747000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.17908377843668e-03
-2.91976881751000e-03,-1.81452503048000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.74207236097694e-03
-8.45065239151000e-03,1.99982184584000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.05054638907274e-02
8.84081175766000e-03,5.87063262108000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.96577686938884e-03
-5.69386799015000e-03,1.33403705098000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.92177216567879e-02
-5.77132916775000e-03,9.13862896942000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.50222289292566e-02
4.87652267238000e-03,6.56276221028000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.68766284003355e-03
-1.38822898131000e-02,-2.19164173447000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-8.06657504268164e-03
-2.22804032581000e-03,-9.56655516062000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.31171894962916e-03
1.10531127438000e-02,1.05611324666000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-4.92101339204939e-04
5.09124789922000e-03,-1.19922273860000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.69391936245201e-02
1.86086903240000e-02,-8.98210660261000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.93190799984393e-02
1.04337598799000e-04,5.83409357361000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.74623400009866e-03
5.34293159574000e-03,8.14002286648000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.80101044041799e-03
-2.77797889457000e-03,1.97451606231000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.76382396933899e-03
-1.00014122425000e-02,1.62370164535000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.16932138184208e-02
-9.13834246232000e-03,-1.13871093624000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.03180025184934e-03
4.21891094085000e-04,-1.63923652366000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.66744615763719e-02
2.02512678527000e-03,1.37502268500000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.17943811346252e-02
7.76129470979000e-03,5.08052893176000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.67717893434676e-03
3.49224921518000e-03,-1.40897216410000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.88924949574125e-03
-5.82033771557000e-03,-3.30235443092000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.52115873617016e-03
